"id" "Gender" "grade" "agey" "agem" "school" "visual" "cubes" "paper" "flags" "general" "paragrap" "sentence" "wordc" "wordm" "addition" "code" "counting" "straight" "wordr" "numberr" "figurer" "object" "numberf" "figurew" "deduct" "numeric" "problemr" "series" "arithmet" "paperrev" "flagssub"
1 "Male" "8" 14 6 "Grant-White" 27 24 17 37 49 11 18 27 18 48 58 71 166 173 89 105 8 13 12 32 9 31 21 23 17 44
2 "Male" "8" 14 0 "Pasteur" 37 24 16 25 46 12 20 31 26 92 79 147 211 168 90 104 10 13 19 42 12 40 37 30 21 37
3 "Male" "8" 13 4 "Grant-White" 42 33 13 24 60 8 16 26 14 93 91 114 205 185 96 112 11 16 19 74 20 41 27 28 22 51
4 "Female" "8" 14 3 "Grant-White" 25 24 16 14 30 10 23 31 16 128 97 166 246 184 84 113 14 8 20 43 14 18 20 30 16 39
5 "Female" "7" 14 -3 "Grant-White" 39 32 17 24 35 11 13 29 16 87 70 109 173 154 97 99 10 6 9 47 19 27 6 18 13 42
6 "Female" "8" 12 2 "Grant-White" 16 30 12 20 29 8 22 27 17 102 82 102 195 171 77 102 4 8 18 42 15 22 13 25 11 38
7 "Male" "7" 13 9 "Pasteur" 36 19 16 19 28 11 15 15 15 103 77 100 218 174 80 101 10 1 11 -2 19 17 16 22 15 34
8 "Male" "8" 15 7 "Pasteur" 21 24 12 9 50 7 16 22 19 138 71 115 172 157 86 105 10 8 15 38 15 29 16 29 11 24
9 "Female" "7" 13 3 "Pasteur" 30 20 10 7 48 14 28 34 27 83 81 107 195 172 80 100 11 9 11 35 15 43 25 25 19 43
10 "Female" "8" 11 9 "Grant-White" 34 26 13 24 32 8 16 19 11 92 63 95 237 172 83 105 7 8 9 36 14 24 19 28 20 37
11 "Male" "8" 14 2 "Pasteur" 26 20 15 27 48 4 9 18 9 82 45 110 176 155 77 87 -3 8 11 9 5 10 11 20 15 24
12 "Male" "8" 14 6 "Pasteur" 21 18 15 18 27 5 11 20 10 119 82 134 227 170 94 98 17 8 13 14 18 28 10 17 11 33
13 "Female" "8" 13 13 "Grant-White" 19 26 10 23 50 10 18 27 23 109 60 111 186 180 93 102 11 10 14 32 18 39 33 30 12 42
14 "Female" "8" 13 0 "Pasteur" 32 27 16 10 51 12 21 31 16 136 74 125 205 176 83 101 3 -1 8 28 17 30 14 24 15 32
15 "Female" "8" 13 5 "Grant-White" 24 14 11 13 38 8 15 23 13 126 85 90 203 201 89 103 13 10 17 34 18 29 25 31 15 23
16 "Male" "8" 14 8 "Pasteur" 24 20 12 15 29 6 13 20 13 105 55 114 171 175 86 99 8 10 7 25 17 18 6 19 13 31
17 "Female" "7" 12 4 "Pasteur" 29 23 12 33 40 9 16 22 19 149 107 94 204 182 95 115 16 12 14 19 18 33 25 31 14 38
18 "Female" "7" 13 2 "Pasteur" 29 21 17 20 39 11 21 23 18 124 67 113 173 180 87 100 14 9 13 51 18 31 31 24 15 39
19 "Male" "8" 15 2 "Pasteur" 29 20 16 16 38 6 13 24 15 127 73 143 190 166 85 100 11 14 16 15 19 17 9 28 16 42
20 "Male" "8" 13 2 "Grant-White" 27 25 16 21 40 6 15 27 13 73 53 126 183 189 88 112 -3 1 10 45 16 22 23 25 15 33
21 "Female" "8" 14 6 "Grant-White" 32 30 20 16 37 5 18 28 23 105 85 139 227 156 83 100 6 6 12 49 17 36 27 23 16 44
22 "Male" "8" 13 6 "Grant-White" 19 17 11 1 40 10 24 28 18 107 70 106 166 176 90 101 10 15 17 -1 15 31 10 27 8 32
23 "Male" "8" 14 4 "Pasteur" 28 23 16 20 35 9 11 22 7 88 81 104 192 170 98 105 10 10 11 0 14 18 23 24 19 38
24 "Female" "8" 12 8 "Grant-White" 23 26 16 8 32 8 23 31 22 57 54 100 159 174 88 86 7 8 10 28 12 32 8 26 16 47
25 "Female" "8" 13 6 "Pasteur" 25 25 12 14 17 5 11 21 2 93 74 129 186 172 90 94 7 3 10 7 15 19 21 24 15 38
