"IDNum","Zygosity","X1","Y1","X2","Y2"
1001,"MZ",-0.6188,-1.1542,1.1032,0.8252
1002,"MZ",1.2334,0.9614,0.2615,-0.0828
1003,"MZ",0.4156,0.38,-0.959,-1.0146
1004,"MZ",-3.249,-2.7173,0.5189,0.6222
1005,"MZ",2.2431,1.774,1.4828,1.0496
1006,"MZ",0.06,-0.363,0.8213,0.5738
1007,"MZ",0.5378,0.6594,0.7809,0.5397
1008,"MZ",-0.7983,-0.2427,-1.1742,-0.6003
1009,"MZ",-1.7558,-0.9901,-0.7928,-1.0918
1010,"MZ",1.3109,1.8965,0.0963,-0.1774
1011,"MZ",-0.4201,-0.2686,1.946,1.6047
1012,"MZ",-1.6128,-0.5428,-1.731,-1.2537
1013,"MZ",4.9372,3.3841,4.2126,3.263
1014,"MZ",-0.6402,-0.4611,-0.0493,-0.1397
1015,"MZ",-1.2333,-0.9633,0.7107,0.8883
1016,"MZ",-3.036,-2.0693,-3.4499,-3.4002
1017,"MZ",0.9161,0.733,-0.1293,0.0117
1018,"MZ",1.4228,1.3866,0.5279,0.8874
1019,"MZ",0.3009,0.0455,0.4739,-0.3451
1020,"MZ",0.897,0.622,-0.6979,-0.749
1021,"MZ",0.2975,-0.6038,1.7428,1.7778
1022,"MZ",-2.084,-1.4229,0.046,-0.0808
1023,"MZ",-0.4978,-0.5529,0.6891,0.1827
1024,"MZ",-1.8435,-1.5128,-3.5155,-2.5986
1025,"MZ",-0.9276,-0.0312,-1.778,-0.9384
1026,"MZ",0.3058,0.145,-3.0709,-1.67
1027,"MZ",-3.1549,-1.8915,-2.8766,-2.3759
1028,"MZ",-0.0082,-0.3242,1.6215,1.4315
1029,"MZ",0.4014,0.5735,0.6082,0.7761
1030,"MZ",1.7829,0.9089,3.5193,2.3251
1031,"MZ",3.2171,2.3331,1.7539,0.3222
1032,"MZ",-1.904,-1.687,-2.6304,-1.7497
1033,"MZ",-1.5909,-0.939,0.0278,-0.3533
1034,"MZ",2.4738,1.064,1.2895,1.2845
1035,"MZ",0.3341,0.5104,0.1653,-0.8549
1036,"MZ",1.7642,1.2295,-0.0349,-0.0114
1037,"MZ",2.7538,1.6867,2.3065,0.753
1038,"MZ",-0.2185,0.1276,1.4579,1.0516
1039,"MZ",1.158,1.3958,1.0853,1.2901
1040,"MZ",0.6643,0.3897,-0.3542,0.1703
1041,"MZ",-0.0644,0.6432,1.1575,0.6848
1042,"MZ",-1.6954,-1.5314,-0.0361,-0.7862
1043,"MZ",1.9434,1.2551,0.9299,0.2232
1044,"MZ",-0.1726,-0.4196,-1.5891,-1.466
1045,"MZ",1.6383,1.2262,1.1696,0.7497
1046,"MZ",-0.425,0.1173,0.9854,0.5893
1047,"MZ",0.0049,-0.722,0.4755,1.219
1048,"MZ",-0.044,-0.2318,1.4441,1.5314
1049,"MZ",0.2886,0.2304,-0.3152,1.1397
1050,"MZ",-0.2558,-0.262,-1.7701,-1.6071
1051,"MZ",0.9306,0.0358,0.6831,0.7665
1052,"MZ",-0.3082,0.3047,1.5704,1.604
1053,"MZ",1.196,1.1547,-0.0127,-0.1856
1054,"MZ",-0.9061,-1.1347,0.3014,0.1839
1055,"MZ",3.2653,2.3273,2.5948,1.9538
1056,"MZ",-2.6691,-1.8494,-1.3201,-1.0859
1057,"MZ",1.3675,0.9056,-3.2852,-2.8025
1058,"MZ",-1.9157,-1.2009,-1.4013,-0.7214
1059,"MZ",0.1647,0.3216,-1.6276,-1.2061
1060,"MZ",1.7494,1.2864,1.1478,0.453
