"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
-0.18097,0.30356,-1.53883,-0.86171,0.42667,0.14732,-0.45593,0.70252,0.53054,-0.41259,1.26308,-1.22323
0.06347,-0.69537,0.76606,-0.57444,0.04054,-1.67475,-3.497,-4.28985,-4.81841,-2.28369,-0.80132,-1.65572
0.88317,-0.70868,-0.25315,-1.9146,0.237,0.31039,3.46528,0.04694,-0.75528,1.92543,0.69496,-0.56872
0.98885,0.21928,0.43742,2.44028,0.56516,1.53296,-0.12416,1.01516,0.54509,0.26758,2.23453,1.08672
1.0417,1.95352,1.35022,1.99869,1.04032,2.25023,3.12419,1.55573,3.13906,4.48625,1.97049,2.56662
-1.12319,-0.51621,-1.18321,-1.73626,-2.37928,-1.3534,-3.42615,-3.5881,-3.13246,-1.01609,-3.21303,1.27334
-0.21339,-1.57416,0.93175,0.55952,0.76067,-0.03139,0.92873,1.13962,0.48952,2.88854,-0.05821,0.77924
1.27498,-0.00724,2.60773,1.15853,1.90562,0.94504,0.78577,-1.21571,0.9782,0.96948,0.62693,0.47557
-0.5139,-1.0987,-0.58876,-0.95822,-0.00515,-1.23671,-1.48236,-1.3833,-0.43221,0.39426,-1.46753,-0.92362
-2.18492,-0.49036,-0.97819,0.81022,-0.35152,0.56229,1.1897,-0.38306,-1.45745,-1.14764,1.23779,2.0944
-2.70526,2.56493,1.19657,1.52222,-0.22536,0.57611,-0.82668,-1.21549,0.32379,0.77148,0.60043,0.41926
0.65085,2.91058,0.89747,2.30882,0.60137,0.60139,0.88014,0.0042,1.34922,1.84474,0.55471,-1.04118
-0.24318,0.83047,1.67864,1.13362,-1.92823,0.69066,-2.74569,-2.22143,-1.88627,-1.07379,-0.60407,-0.72415
0.31665,0.05957,-0.21333,1.17864,-0.37632,3.5479,2.30901,0.70305,3.24527,3.20786,0.55376,1.99066
1.1177,2.2318,1.98163,3.08783,1.03136,-1.52766,0.6295,1.01684,1.02142,3.11555,1.16393,0.75227
0.0442,0.25243,2.80198,0.52084,0.26056,0.45987,-0.80289,1.29087,0.50928,-2.07845,-0.51028,0.98606
1.69135,-0.1578,-0.62099,0.05946,0.09887,0.94845,-1.28876,-1.70713,0.34442,-0.7514,1.04944,0.46581
1.17298,0.40359,0.30011,2.30735,0.77309,-1.34053,-0.05758,0.63791,1.21182,0.05652,0.83187,1.25079
-0.0298,1.47635,2.02389,0.41752,-2.34813,-0.26032,-3.78819,-2.7189,-3.42021,-4.80694,-2.66244,-1.52523
2.52088,1.96623,4.36187,3.4679,0.83131,1.55987,1.27813,1.63837,-0.0484,-1.50138,1.12228,1.1458
0.19139,1.86296,1.48255,2.9588,0.7333,-2.64337,0.47585,-0.24272,0.17276,-0.11444,2.21737,-0.92941
1.2205,-1.44824,-0.41955,-0.37577,2.61918,0.96863,-0.26551,1.42573,1.18134,-0.30879,1.38256,0.69192
-1.78961,-1.65178,-1.00506,-1.89903,-0.73182,-1.03538,-0.70756,-0.60801,-0.02935,-1.34865,-2.00263,0.11134
0.91212,-0.49209,-0.55618,0.10431,-2.33902,0.62534,-1.22817,0.29246,-2.54877,-0.91537,0.24851,-1.77504
-2.70816,-1.01022,-3.68339,-2.48169,1.64787,1.54357,-0.67694,1.41735,0.55443,1.79173,-0.38785,-0.08724
0.73992,1.23087,-0.01976,-0.33977,0.38633,1.2761,0.98915,1.81491,-0.46962,-0.43272,1.17528,-0.19948
0.30277,2.56566,-0.22508,-1.01088,1.51615,1.15714,0.71347,0.36304,-1.133,1.86258,2.10588,2.27794
0.04636,1.02997,0.68834,1.24042,2.41021,1.15611,3.10665,1.58992,2.83335,2.66171,1.57338,3.02585
-0.23809,-1.10006,0.96035,-1.78989,0.59586,1.86398,0.90751,0.52018,2.12746,0.57585,1.08299,-0.35558
1.56396,1.93964,-0.11682,0.38831,-3.90653,-1.22771,-2.4756,-3.17867,-4.16033,-2.81443,-1.77938,-3.21443
0.29519,0.85477,0.75955,0.11302,1.73714,0.723,2.46858,1.39186,-0.09652,0.29868,1.4341,0.70826
-1.24039,-1.46364,-2.10311,-1.41644,-2.19728,-2.5554,-2.95297,-1.57972,-3.10095,-3.46077,-2.0178,-1.79271
1.49444,1.9536,0.10292,-0.05303,2.59428,0.82682,3.07193,1.83829,2.99351,2.11975,2.98552,2.19332
0.2053,1.53052,1.26932,0.95034,0.07058,-0.46972,2.57818,2.43493,1.45779,1.70656,1.11788,0.48349
2.1862,1.68184,-0.55225,0.21494,2.23247,0.1577,0.85473,1.18112,2.71454,1.80864,1.25998,1.17545
-0.60494,-0.16252,1.51403,-0.13764,0.21814,-1.78501,0.82191,1.77557,0.62735,0.95045,1.2447,-0.65789
1.21429,0.60985,-0.55946,1.74031,0.66491,0.40674,1.12298,-0.01085,-1.60623,-0.61308,-0.93136,0.1442
-1.46431,-0.78691,-1.46832,-1.89641,-2.85707,-1.96974,-4.59987,-3.68966,-4.20192,-5.7164,-3.36721,-2.47233
1.00644,-1.27901,0.515,0.82962,-0.61276,-3.15185,-1.55688,1.12855,-2.01274,-1.56815,-1.23237,-2.85673
0.952,-1.25337,0.9518,0.83137,0.72799,1.66188,0.80858,-0.26455,1.21065,1.687,1.07708,0.70163
-0.13966,1.48033,2.60017,1.00164,1.17917,3.37248,3.20675,0.55954,1.37508,1.14217,2.40977,1.78518
-2.89591,1.15824,-0.31025,-0.87556,-1.14489,-1.91579,-2.92802,-1.9462,-3.87586,-1.83288,-1.28485,-1.10393
-0.07972,0.66565,-0.52524,-1.20248,-1.00124,-0.02122,-0.2304,0.00032,1.72558,-0.39056,-0.37366,0.26037
0.37569,-0.40659,1.16777,-0.36145,2.25807,0.15841,1.78032,1.00279,0.89305,2.14539,0.89147,-0.75077
-1.93998,-1.18066,-2.18791,-1.34726,0.75744,0.8135,-1.10699,1.18064,0.24631,-0.38897,0.6641,0.08719
-0.07234,1.13803,-0.48796,-1.21296,0.68029,1.17942,2.59406,3.16174,1.93249,1.34423,0.58432,3.08232
-0.77803,-0.00513,-1.21105,-0.15234,-1.36557,0.62154,2.51006,0.38569,0.70065,-0.14164,1.37945,-1.06695
-1.66726,-0.02428,-0.4525,-1.00724,-2.78901,-2.72868,-2.49558,-2.24432,-2.26535,-3.90743,-4.19267,-2.58644
-0.40064,0.05581,0.33264,-1.58481,-0.24944,-0.09064,1.2635,1.94507,-0.44262,0.45045,0.01934,0.31787
-1.13703,-0.87085,1.50143,0.43086,-1.75362,-0.47647,-2.57979,-1.31287,-0.68687,-0.93037,-2.01613,-1.83924
-0.94898,1.18885,-0.77409,2.00432,0.70733,2.23911,0.45217,0.68896,2.60469,0.95524,-0.92458,0.26462
-0.55228,-0.14747,-1.3074,-2.122,-2.37989,-2.76695,-3.03964,-3.29079,-1.46593,-2.59733,-3.06159,-1.91729
-1.09512,-0.60517,0.10443,-0.16044,0.48214,1.10671,1.62692,2.13569,3.19996,2.30893,3.7663,2.64111
