"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
-0.53847,1.81148,2.33127,0.00873,0.23258,-0.12833,-0.67955,-0.02058,-0.88672,-0.10814,0.0081,0.05809
1.0932,1.23843,1.21798,0.90479,2.43704,1.84079,0.1379,3.79296,2.82174,2.92141,2.82419,2.24482
0.34017,-2.21036,0.31201,-0.07715,0.70823,1.89333,2.19595,3.03383,0.93566,0.17304,-0.63341,-0.39937
1.62994,2.16356,4.23331,2.97511,0.97513,1.54656,2.60047,2.50121,2.73266,4.917,4.12015,3.60929
-1.68492,-0.55794,-1.07496,-1.25551,0.44764,-0.67416,1.66039,0.48123,-0.4663,-1.36481,0.2607,0.43782
0.72652,-0.11513,0.99723,1.7739,-1.20607,-1.13912,-1.09314,0.64465,0.09513,0.00811,-0.69336,1.0563
-0.87503,-0.43799,-0.89329,-1.38844,-0.52096,2.32439,0.51081,0.00632,2.02804,2.29517,0.8706,1.27603
1.30356,2.63065,2.98738,1.67712,0.15436,0.45156,-0.68491,-0.66068,3.77689,1.97389,1.89002,3.48064
-2.11871,0.2961,-0.79714,1.41926,-0.3764,0.86312,2.57961,1.29971,-1.47539,-2.30349,0.67868,-0.34945
-0.74606,-1.69237,0.35233,0.32933,-3.27992,-0.65751,-3.2586,-3.94726,-3.68674,-2.2677,-1.77554,-0.1533
0.24294,-0.33295,-0.39958,-1.81144,0.62268,0.32745,2.05349,-0.99337,0.27967,-0.95533,-0.89639,-0.59696
0.4415,0.86823,-0.84119,-2.10851,0.11377,-0.30038,1.69414,0.94134,1.78238,1.59214,-0.16834,0.21072
0.42798,0.13102,1.12543,0.89235,-1.63373,-0.74254,-3.6183,-1.0464,-1.61261,0.2863,-1.50676,-2.15028
-1.39258,0.28909,-0.7623,-0.95136,-2.02503,-1.52039,-1.87117,-2.90869,0.63663,1.04926,1.07038,0.19518
