"x1" "x2" "x3" "x4" "x5" "c"
"1" 2.78 -1.71 -4.28 -7.54 -12.08 1
"2" 0.58 1.18 0.8 1.53 2.15 1
"3" 3.4 1.33 -1.11 -1.56 -5.25 1
"4" 1.23 1.83 0.67 0.58 0.1 1
"5" 1.86 0.81 -0.95 -2.04 -3.89 1
"6" 0.19 -1.94 -3.75 -4.09 -7.21 1
"7" 0.57 3.16 4.34 6.39 8.67 1
"8" 0.02 -1.35 -2.26 -3.39 -6.29 1
"9" -0.4 -2.05 -1.47 -2.81 -5.85 1
"10" -0.13 -1.98 -3.89 -4.79 -7.91 1
"11" 1.28 1.53 1.41 1.9 2.69 1
"12" 0.28 -1.26 -0.24 -0.47 -2.17 1
"13" -0.3 -3 -5.65 -7.51 -11.35 1
"14" -0.57 0.6 -0.38 -0.78 -1.45 1
"15" 1.75 2.2 1.41 0.36 0.3 1
"16" -0.9 -0.57 -1.46 -1.34 -2.83 1
"17" -0.36 -1.42 -0.53 -0.91 -0.17 1
"18" 1.42 -0.68 -1.23 -2.58 -3.47 1
"19" -1.03 -1.23 -0.89 0.42 0.19 1
"20" 1.04 1.46 -0.17 0.57 -0.07 1
"21" -0.31 -1.72 -1.36 -4.36 -4.46 1
"22" 0.12 2.26 2.66 3.11 3.64 1
"23" -0.45 -1.11 -1.88 -3.03 -4.67 1
"24" 0.43 -1.73 -4.04 -7.95 -12.58 1
"25" -0.24 1.02 0.72 2.06 2.35 1
"26" -2.17 -4.3 -5.88 -7.71 -12.27 1
"27" -0.68 0.15 -0.25 -1.35 0.23 1
"28" 2.44 1.95 2.88 4.44 6.25 1
"29" 0.9 -1.42 -5.16 -6.9 -10.64 1
"30" 1.26 -0.67 -1.27 -0.03 -3.18 1
"31" -2.22 -4.77 -7.19 -11.17 -17.31 1
"32" -1.94 -2.53 -4.96 -6.04 -6.67 1
"33" -1.03 -3.59 -6.09 -8.22 -14 1
"34" 0.6 -1.38 -3.7 -4.42 -7.2 1
"35" -1.99 -2.8 -5.95 -8.4 -13.18 1
"36" -1.52 -2.07 -2.7 -3.71 -3.64 1
"37" -1.67 -2.06 -1.05 -1.06 0.02 1
"38" -1.31 -0.86 -0.83 -2.08 -2.77 1
"39" 1.23 -0.23 -1.12 -2.15 -2.48 1
"40" 0.11 0.43 -0.19 -1.85 -3.83 1
"41" 1.49 0.03 -1.12 -1.67 -2.99 1
"42" 0.39 -1.07 -1.39 -2.75 -6.35 1
"43" 0.74 -0.95 -1.92 -4.28 -8.36 1
"44" -0.98 -2.6 -4.78 -6.99 -10.93 1
"45" 1.85 0.79 2.14 1.24 1.4 1
"46" -0.05 0.55 1.01 0.77 1.42 1
"47" 1.03 1.51 2.47 1.68 2.69 1
"48" -1.18 -1.08 -0.9 -1.36 -2.96 1
"49" -0.87 -1.6 -0.74 -1.74 -2.03 1
"50" -0.17 0.46 0.15 1 0.97 1
"51" -0.19 -0.98 2.69 2.86 4.14 1
"52" 0.18 -4.21 -4.39 -6.92 -10.61 1
"53" -1.19 -3.18 -5.92 -7.86 -12.87 1
"54" -0.38 -4.16 -5.8 -8.82 -14.12 1
"55" 0 -1.09 -1.49 -0.66 -1.26 1
"56" -1.06 -1.85 -4.07 -5.12 -7.25 1
"57" 0.41 -2.31 -4.47 -7.67 -13.29 1
"58" 1.38 -0.2 0.37 -0.33 -0.63 1
"59" 0.67 0.9 0.96 1.37 1.18 1
"60" -1.25 -3.2 -2.35 -4.54 -5.91 1
"61" -0.74 -1.67 -2.27 -3.49 -6 1
"62" 0.26 0.12 0.44 0.01 0.14 1
"63" 0.95 -0.97 -1.88 -4.57 -8.01 1
"64" -0.65 -3.61 -7.14 -9.04 -15.01 1
"65" -1.73 -1.55 -3.82 -4.15 -5.63 1
"66" -0.46 -3.05 -5.4 -7.36 -14 1
"67" 0.22 -0.34 -0.38 -0.79 -1.01 1
"68" 1.19 1.77 2.85 0.82 1.72 1
"69" 0.92 0.19 -0.45 -0.06 -2.06 1
"70" -1.11 -0.68 -1.88 -1.11 -1.23 1
"71" -0.83 1.53 0.27 0.33 0.72 1
"72" 1.09 2.79 4.46 5.44 8.55 1
