"x1" "x2" "x3" "x4" "x5"
"1" 2.78 -1.71 -4.28 -7.54 -12.08
"2" 0.58 1.18 0.8 1.53 2.15
"3" 3.4 1.33 -1.11 -1.56 -5.25
"4" 1.23 1.83 0.67 0.58 0.1
"5" 1.86 0.81 -0.95 -2.04 -3.89
"6" 0.19 -1.94 -3.75 -4.09 -7.21
"7" 0.57 3.16 4.34 6.39 8.67
"8" 0.02 -1.35 -2.26 -3.39 -6.29
"9" -0.4 -2.05 -1.47 -2.81 -5.85
"10" -0.13 -1.98 -3.89 -4.79 -7.91
"11" 1.28 1.53 1.41 1.9 2.69
"12" 0.28 -1.26 -0.24 -0.47 -2.17
"13" -0.3 -3 -5.65 -7.51 -11.35
"14" -0.57 0.6 -0.38 -0.78 -1.45
"15" 1.75 2.2 1.41 0.36 0.3
"16" -0.9 -0.57 -1.46 -1.34 -2.83
"17" -0.36 -1.42 -0.53 -0.91 -0.17
"18" 1.42 -0.68 -1.23 -2.58 -3.47
"19" -1.03 -1.23 -0.89 0.42 0.19
"20" 1.04 1.46 -0.17 0.57 -0.07
"21" -0.31 -1.72 -1.36 -4.36 -4.46
"22" 0.12 2.26 2.66 3.11 3.64
"23" -0.45 -1.11 -1.88 -3.03 -4.67
"24" 0.43 -1.73 -4.04 -7.95 -12.58
"25" -0.24 1.02 0.72 2.06 2.35
"26" -2.17 -4.3 -5.88 -7.71 -12.27
"27" -0.68 0.15 -0.25 -1.35 0.23
"28" 2.44 1.95 2.88 4.44 6.25
"29" 0.9 -1.42 -5.16 -6.9 -10.64
"30" 1.26 -0.67 -1.27 -0.03 -3.18
"31" -2.22 -4.77 -7.19 -11.17 -17.31
"32" -1.94 -2.53 -4.96 -6.04 -6.67
"33" -1.03 -3.59 -6.09 -8.22 -14
"34" 0.6 -1.38 -3.7 -4.42 -7.2
"35" -1.99 -2.8 -5.95 -8.4 -13.18
"36" -1.52 -2.07 -2.7 -3.71 -3.64
"37" -1.67 -2.06 -1.05 -1.06 0.02
"38" -1.31 -0.86 -0.83 -2.08 -2.77
"39" 1.23 -0.23 -1.12 -2.15 -2.48
"40" 0.11 0.43 -0.19 -1.85 -3.83
"41" 1.49 0.03 -1.12 -1.67 -2.99
"42" 0.39 -1.07 -1.39 -2.75 -6.35
"43" 0.74 -0.95 -1.92 -4.28 -8.36
"44" -0.98 -2.6 -4.78 -6.99 -10.93
"45" 1.85 0.79 2.14 1.24 1.4
"46" -0.05 0.55 1.01 0.77 1.42
"47" 1.03 1.51 2.47 1.68 2.69
"48" -1.18 -1.08 -0.9 -1.36 -2.96
"49" -0.87 -1.6 -0.74 -1.74 -2.03
"50" -0.17 0.46 0.15 1 0.97
"51" -0.19 -0.98 2.69 2.86 4.14
"52" 0.18 -4.21 -4.39 -6.92 -10.61
"53" -1.19 -3.18 -5.92 -7.86 -12.87
"54" -0.38 -4.16 -5.8 -8.82 -14.12
"55" 0 -1.09 -1.49 -0.66 -1.26
"56" -1.06 -1.85 -4.07 -5.12 -7.25
"57" 0.41 -2.31 -4.47 -7.67 -13.29
"58" 1.38 -0.2 0.37 -0.33 -0.63
"59" 0.67 0.9 0.96 1.37 1.18
"60" -1.25 -3.2 -2.35 -4.54 -5.91
"61" -0.74 -1.67 -2.27 -3.49 -6
"62" 0.26 0.12 0.44 0.01 0.14
"63" 0.95 -0.97 -1.88 -4.57 -8.01
"64" -0.65 -3.61 -7.14 -9.04 -15.01
"65" -1.73 -1.55 -3.82 -4.15 -5.63
"66" -0.46 -3.05 -5.4 -7.36 -14
"67" 0.22 -0.34 -0.38 -0.79 -1.01
"68" 1.19 1.77 2.85 0.82 1.72
"69" 0.92 0.19 -0.45 -0.06 -2.06
"70" -1.11 -0.68 -1.88 -1.11 -1.23
"71" -0.83 1.53 0.27 0.33 0.72
"72" 1.09 2.79 4.46 5.44 8.55
"73" 0.12 -1.68 -3.36 -6.27 -9.18
"74" -0.81 -1.01 -1.59 -3.08 -4.02
"75" -0.49 -2.69 -5.53 -8.18 -14.36
"76" 0.63 -1.21 -2.94 -4.92 -8.1
"77" -1.82 -4.95 -4.24 -6.9 -9.64
"78" 0.47 -0.31 -1.27 -1.11 -1.07
"79" 0.07 2.26 4.35 6.77 9.98
"80" 0.65 -0.8 -0.73 -0.51 -1.34
"81" -0.51 -0.43 0.45 0.5 1.29
"82" -1.21 -3.76 -5.69 -8.24 -14.55
"83" 0.59 0.38 -2.37 -2.68 -5.3
"84" 0.36 -2.58 -5.93 -8.85 -13.75
"85" -0.95 -3.12 -6.31 -8.16 -12.88
"86" -0.43 -1.2 -3.32 -3.94 -6.28
"87" 1.15 2.02 2.25 2.53 2.62
"88" 0.8 -0.82 -2.1 -2.75 -5.22
"89" -0.71 -2.66 -3.29 -5.46 -9.19
"90" -0.93 -1.13 -0.73 -1.15 -2.37
"91" 1.65 2.42 2.36 1.71 3.21
"92" -1.02 -2.07 -3.31 -6.16 -8.99
"93" 1.02 0.04 -0.8 -1.06 -3.41
"94" 0.27 -2.11 -3.92 -5.67 -11.65
"95" -1.04 -2.14 -3.53 -5.36 -8.2
"96" 1.25 -0.04 -2.05 -3.14 -6.59
"97" -1.39 -2.79 -5.06 -6.64 -10.17
"98" 0.33 -0.65 -2.22 -2.57 -6
"99" 1.58 -0.24 -1.11 0.55 -2.14
"100" 0.27 -1.66 -3.78 -5.84 -9.72
"101" -1.05 -1.05 -0.23 -1.22 -1.2
"102" -0.79 -0.96 -0.76 -0.55 -1.01
"103" 3 1.49 0.63 -0.75 -3.02
"104" 0.46 -1.41 -2.34 -4.17 -5.83
"105" -0.97 -2.92 -5.47 -6.09 -10.94
"106" -0.91 -2.95 -5.54 -8.08 -12.99
"107" 0.87 -0.04 -2.28 -1.42 -4.26
"108" -1.22 -3.61 -5.56 -9.47 -12.45
"109" 0 1.24 0.21 2.32 4.06
"110" -0.33 -1.14 -2.67 -4.43 -7.92
"111" 1.4 -1.08 -0.68 -1.76 -2.03
"112" -0.05 0.5 0.31 1.18 1.88
"113" -0.08 -2.86 -5.75 -8.94 -13.77
"114" 0.18 -0.01 -2.34 -1.95 -3.95
"115" -0.17 -0.96 -1.95 -3.67 -5.37
"116" -0.29 -0.68 -0.34 0.08 0.08
"117" -0.02 -1.65 -1.59 -1.6 -3.32
"118" 0.69 -1.11 -3.02 -5.57 -8.75
"119" 2.42 -0.18 -0.02 -0.65 -2.81
"120" 2.32 -0.17 -0.82 -2.63 -6.36
"121" -0.52 0.56 -0.78 -0.5 -0.14
"122" 0.95 -0.62 -3.72 -5.54 -9.23
"123" 0.37 -2.43 -4.04 -7.2 -10.95
"124" 0.04 -0.36 -0.87 -1.74 -3.12
"125" 0.7 0.83 0.74 0.4 0.89
"126" -0.75 -1.44 -2.19 -2.11 -3.13
"127" -0.02 -0.87 -2.42 -3.75 -6.88
"128" -1.26 -2.09 -2.32 -4.57 -6.04
"129" 0.41 -0.87 -2.1 -3.02 -6.5
"130" -0.34 -0.48 -1 -1.69 -2.2
"131" 0.36 1.82 0.1 0.13 0.14
"132" -0.07 -3.18 -4.54 -5.83 -9.6
"133" -0.59 -2.73 -4.65 -6.81 -10.76
"134" 1.58 -0.18 -0.79 -1.51 -2.98
"135" 1.77 1.32 0.44 2.15 0.19
"136" 1.45 0.35 0.45 0.21 -1.46
"137" 0.06 0.06 -0.51 -2.09 -2.41
"138" -1.13 -2.46 -3.46 -5.85 -8.9
"139" 0.82 1.86 2.53 2.51 4.06
"140" 0.69 -1.6 -3.89 -4.57 -8.56
"141" 0.43 -0.2 -1 -1 -1.07
"142" 0.41 -1.28 -3.11 -4.39 -9.76
