Twin1 Twin2 Father Mother zyg
-1.902 0.011 -0.283 NA mz
NA -0.339 NA NA mz
-0.04 NA NA NA mz
-1.864 -1.861 NA NA mz
-0.383 -0.734 NA -0.221 mz
0.353 -0.222 NA 0.292 mz
1.327 -0.107 NA 1.06 mz
-1.468 -1.323 0.464 -0.815 mz
-0.498 -0.002 0.242 0.53 mz
-1.426 -0.002 -1.053 -1.954 mz
0.192 0.001 NA 0.882 mz
0.125 0.136 NA NA mz
-0.029 -0.685 -0.203 -0.043 mz
-0.081 -0.073 -0.338 0.635 mz
-0.971 -0.627 0.168 -1.302 mz
0.648 0.694 NA NA mz
-0.257 -0.269 -0.279 NA mz
NA -0.069 NA NA mz
0.079 -0.265 -0.767 -0.648 mz
0.558 -0.135 NA NA mz
NA -1.105 NA NA mz
1.287 0.613 -0.708 0.637 mz
-0.843 -0.72 -1.172 -0.155 mz
-0.606 0.469 0.245 -1.274 mz
-0.217 1.48 0.248 1.154 mz
0.156 -0.034 1.435 NA mz
0 -0.198 NA 0.288 mz
-0.685 -0.671 0.812 0.396 mz
1.87 1.871 1.192 1.382 mz
0.589 1.552 NA 0.913 mz
0.833 -0.097 NA NA mz
-0.451 -0.719 0.261 NA mz
NA -0.705 NA NA mz
-1.067 0.674 NA NA mz
-0.435 -0.478 NA NA mz
NA -1.018 NA NA mz
2.592 2.446 NA NA mz
0.03 0.397 NA -0.764 mz
-0.263 0.99 -0.938 0.072 mz
-0.612 -0.955 0.926 -1.971 mz
-1.809 -1.19 -2.002 -1.343 mz
-0.395 -1.446 NA -0.665 mz
-0.821 0.573 NA NA mz
0.72 2.233 NA NA mz
-0.888 -1.484 NA NA mz
0.534 0.682 -0.598 0.008 mz
-0.933 -2.212 NA NA mz
0.385 -0.453 NA -1.461 mz
1.152 0.382 -1.258 -0.867 mz
0.519 1.148 NA NA mz
0.334 1.12 NA -0.639 mz
-0.468 0.286 -0.412 NA mz
-1.064 -1.502 -0.598 NA mz
1.298 0.234 NA NA mz
-1.689 -1.7 0.884 0.77 mz
-0.506 -0.882 0.058 -0.785 mz
1.302 0.764 0.344 1.764 mz
-0.529 -1.244 -1.213 NA mz
1.256 0.5 1.63 0.758 mz
-0.067 -0.095 NA NA mz
0.031 0.851 NA -1.505 mz
2.28 NA NA NA mz
0.091 -0.548 1.814 -0.413 mz
-0.069 0.291 0.662 -0.079 mz
0.129 -0.323 NA -0.82 mz
0.645 0.423 0.148 -1.134 mz
1.605 1.467 -1.043 0.144 mz
-0.385 0.801 0.524 1.333 mz
-0.658 -0.108 NA NA mz
-0.404 -0.106 NA NA mz
NA 0.016 NA NA mz
-0.511 -0.054 0.438 0.715 mz
NA -0.024 NA NA mz
NA 0.242 -1.376 -0.046 mz
-0.655 -0.652 NA -0.653 mz
0.271 -0.514 NA 0.631 mz
-1.13 1.26 NA NA mz
-1.359 -1.17 NA -1.253 mz
-0.391 0.739 0.467 NA mz
-0.082 -1.017 0.458 -0.27 mz
-0.553 0.112 0.388 0.784 mz
1.818 1.308 NA NA mz
0.233 1.366 NA NA mz
0.307 0.281 NA NA mz
0.727 1.525 -0.358 -0.308 mz
-0.512 -0.055 -1.729 -0.798 mz
-1.209 -1.403 NA NA mz
-0.743 -1.522 NA NA mz
NA -0.729 NA NA mz
1.182 0.314 NA NA mz
0.323 1.354 0.716 -0.173 mz
-1.575 -1.971 0.498 -0.985 mz
-1.523 -0.382 NA NA mz
0.855 1.103 NA -0.472 mz
-0.341 -0.779 0.152 -0.866 mz
-0.709 0.078 -0.455 0.211 mz
-0.38 -0.055 NA NA mz
-0.236 -0.01 NA NA mz
1.03 0.567 -0.129 -1.085 mz
0.546 0.457 NA NA mz
1.062 0.633 1.183 0.482 mz
-0.738 -0.753 NA NA mz
1.057 0.676 NA NA mz
0.958 -0.68 0.877 0.443 mz
-0.589 -0.197 1.461 0.642 mz
NA 1.159 NA NA mz
1.421 1.125 2.585 2.304 mz
-0.376 -1.044 NA 0.962 mz
0.851 0.22 -0.27 -0.953 mz
-0.365 NA NA NA mz
-0.463 -0.995 NA NA mz
0.489 0.104 -3.081 -0.804 mz
-0.246 -0.144 0.964 NA mz
-0.255 -0.554 -0.22 -0.109 mz
1.215 NA NA NA mz
0.235 1.305 -0.24 0.574 mz
1.041 0.196 NA NA mz
-1.198 -1.055 NA NA mz
1.725 1.227 NA 1.357 mz
-1.162 -0.594 0.009 -0.4 mz
-0.26 -0.443 NA NA mz
1.045 0.153 -0.709 NA mz
0.061 -0.224 -0.682 -0.708 mz
-0.416 -0.495 1.848 -0.827 mz
0.14 0.509 NA NA mz
NA 0.245 NA NA mz
0.771 0.583 NA NA mz
-0.222 -0.889 NA NA mz
0.729 0.511 -2.266 1.372 mz
0.858 NA NA NA mz
0.145 -0.702 NA NA mz
1.468 0.534 0.381 1.831 mz
-0.912 0.405 NA NA mz
1.183 1.291 0.421 0.521 mz
0.355 0.964 NA 0.088 mz
-0.699 -0.05 NA NA mz
0.664 NA NA NA mz
0.02 -0.049 0.329 -0.208 mz
1.594 1.475 0.577 -0.999 mz
1.324 0.98 -0.877 0.745 mz
0.927 0.342 NA NA mz
-0.431 0.958 0.896 -1.327 mz
0.591 0.429 NA NA mz
-0.52 -0.377 -1.026 -1.086 mz
1.46 2.35 NA NA mz
-0.68 -0.802 NA -0.229 mz
0.377 1.331 0.27 0.728 mz
