'a' 'b' 'c' 'd' 'e' 'f' 'g' 'h' 'i' 'j' 'k' 'l'
1346.671 -519.1332 -175.8789 -84.13394 -287.3318 86.91814 -240.7423 -77.57814 -125.8206 -46.17796 -88.38804 -15.72463
-519.1332 1111.820 -359.3186 -145.6713 152.9101 -296.6048 -89.87623 -25.86366 48.20697 99.46033 -252.5439 -34.94028
-175.8789 -359.3186 1243.803 -306.8548 15.87012 113.7375 -119.3246 138.7938 12.97857 -35.52181 631.3562 -87.35257
-84.13394 -145.6713 -306.8548 821.1284 12.59118 43.21512 129.198 -181.8419 6.675327 -14.20834 -252.5425 174.7053
-287.3318 152.9101 15.87012 12.59118 1165.223 -133.2348 -220.9036 -81.2217 -920.2899 239.4533 -42.21486 -5.803659
86.91814 -296.6048 113.7375 43.21512 -133.2348 854.235 -345.5644 -126.4088 352.6003 -515.7461 -120.6170 -12.89579
-240.7423 -89.87623 -119.3246 129.198 -220.9036 -345.5644 699.6057 -240.9324 94.92917 184.1964 301.541 -32.24016
-77.57814 -25.86366 138.7938 -181.8419 -81.2217 -126.4088 -240.9324 517.2027 48.82535 73.67657 -120.6164 64.48036
-125.8206 48.20697 12.97857 6.675327 -920.2899 352.6003 94.92917 48.82535 1436.179 210.8263 15.28125 4.042501
-46.17796 99.46033 -35.52181 -14.20834 239.4533 -515.7461 184.1964 73.67657 210.8263 978.0366 124.7514 19.95915
-88.38804 -252.5439 631.3562 -252.5425 -42.21486 -120.6170 301.541 -120.6164 15.28125 124.7514 779.6878 124.7501
-15.72463 -34.94028 -87.35257 174.7053 -5.803659 -12.89579 -32.24016 64.48036 4.042501 19.95915 124.7501 499.0009
