"x1" "x2" "x3" "x4" "x5"
7.01 10.226 6.809 12.179 10.3
6.96 10.996 14.301 18.029 19.699
9.644 11.077 12.213 13.611 16.776
8.924 10.381 12.861 15.693 17.291
10.5 12.016 13.668 17.895 17.515
12.75 12.533 11.338 12.165 16.142
6.431 11.264 9.352 11.843 15.138
11.519 10.362 18.138 18.274 21.872
10.3 12.246 16.501 14.016 14.735
13.317 12.646 15.507 18.652 21.159
9.823 11.713 12.076 14.526 15.37
8.787 8.524 12.91 12.264 14.759
8.464 13.893 15.974 17.901 19.432
10.496 15.997 11.673 17.322 20.173
12.656 13.761 15.039 16.832 18.679
5.821 11.698 13.414 14.701 18.347
10.196 11.811 13.62 14.058 16.175
8.041 8.678 11.502 12.046 12.397
12.119 13.655 15.594 14.929 16.502
13.331 14.019 18.72 18.439 21.863
6.672 10.191 10.926 14.147 15.824
6.723 12.362 13.441 15.362 14.87
9.381 11.053 14.207 14.13 13.845
10.778 11.904 14.87 19.259 19.42
11.355 16.063 19.088 20.87 22.516
7.937 13.619 13.001 13.636 14.663
9.464 9.7 10.952 11.721 8.919
12.456 13.932 16.684 17.091 19.037
12.296 15.095 17.221 17.368 21.678
5.903 5.759 9.523 8.643 8.897
11.71 15.467 19.442 17.297 22.122
8.635 11.727 11.691 15.528 12.883
14.273 14.298 16.369 17.271 18.9
10.286 11.535 13.938 17.561 16.802
9.19 13.206 14.136 16.055 19.294
3.586 9.205 9.806 9.876 14.848
6.798 10.518 11.681 11.891 14.208
9.54 11.507 13.306 17.239 20.346
8.64 10.329 12.367 14.646 17.133
9.859 11.117 11.695 14.753 15.57
9.185 8.354 12.666 13.06 14.13
8.464 11.451 13.452 16.973 14.984
12.133 8.441 14.92 13.624 16.273
9.155 14.138 15.284 15.957 18.665
7.101 12.633 14.123 14.54 20.736
7.328 14.384 17.553 18.25 20.186
9.845 7.93 13.787 15.074 14.137
10.051 12.083 13.047 14.327 15.586
5.874 6.01 9.307 9.079 8.928
9.687 15.643 15.457 17.013 19.994
8.111 8.715 9.319 9.817 12.708
9.343 13.443 16.003 15.085 19.044
13.922 15.784 19.913 21.515 23.883
10.456 10.134 13.922 17.446 21.282
12.64 17.702 17.902 25.283 23.259
11.226 11.44 11.992 13.5 14.419
11.685 12.892 15.543 14.533 16.34
8.007 9.836 12.408 13.67 16.177
10.477 9.905 12.359 15.2 17.506
12.435 14.67 18.84 17.105 20.576
8.188 9.448 11.878 11.743 16.989
8.7 9.484 14.456 15.149 20.029
12.054 10.548 13.576 12.838 16.36
14.876 14.69 15.765 18.601 20.868
10.822 13.072 12.142 16.077 15.533
13.715 15.461 16.955 19.724 21.054
6.859 7.633 9.52 10.811 15.662
8.046 9.604 13.361 13.892 16.212
13.232 14.252 17.324 15.633 22.007
14.244 14.834 15.046 17.362 20.959
7.555 10.918 11.336 10.345 13.164
12.741 14.236 14.38 17.198 16.516
9.329 11.751 8.442 10.124 11.815
10.567 10.212 17.155 18.88 19.259
13.076 13.312 12.833 18.706 18.715
8.671 15.125 13.679 17.808 14.817
10.044 12.454 11.937 14.005 14.269
10.925 14.925 15.692 16.165 20.463
9.89 11.691 12.747 15.909 15.825
12.515 14.081 13.098 19.535 24.193
10.203 13.655 9.914 14.727 17.204
11.65 13.174 15.079 18.481 21.508
10.559 14.331 18.198 16.299 18.934
4.79 6.121 8.198 9.03 10.217
12.317 10.532 14.84 13.923 15.783
15.911 18.993 20.533 21.61 27.809
11.673 13.936 18.696 18.264 21.344
7.809 9.72 10.151 12.359 11.712
10.326 12.136 13.236 16.451 17.489
9.489 9.752 11.697 17.842 16.161
8.819 11.716 11.213 16.745 18.259
7.184 9.272 12.378 14.21 16.678
15.223 16.486 18.71 18.836 21.914
14.625 17.349 16.8 19.336 25.399
9.09 14.986 15.086 19.064 16.701
10.549 13.201 16.841 15.467 17.051
12.956 17.573 17.679 19.295 19.886
11.565 13.157 15.425 16.001 18.408
11.471 13.401 13.274 14.918 19.483
9.29 13.059 16.316 16.296 18.253
10.806 12.599 13.273 13.754 15.692
7.434 10.861 14.026 14.343 13.266
11.598 12.364 15.967 16.215 17.337
6.028 7.865 6.545 12.433 13.948
8.744 11.398 15.296 17.909 16.011
10.212 7.374 10.128 10.125 11.513
13.052 15.264 13.347 12.85 14.153
5.589 6.836 8.956 13.302 16.128
5.661 9.211 9.864 13.432 11.054
10.994 11.954 16.656 18.812 18.67
8.319 7.083 9.5 9.074 14.725
13.246 14.015 14.692 11.754 14.1
11.73 13.682 16.055 19.76 18.854
10.121 13.556 15.509 15.128 17.479
10.028 18.635 16.927 18.545 28.7
11.516 15.732 17.072 21.169 23.515
12.231 11.515 11.578 17.687 19.714
10.866 11.965 15.382 16.607 19.03
7.205 8.477 11.244 11.026 12.354
10.77 11.737 10.795 11.693 16.801
12.479 16.442 18.379 16.857 20.53
11.674 9.439 13.752 13.616 18.512
6.926 10.525 13.739 13.47 17.703
7.424 12.278 12.801 10.513 11.109
11.533 12.686 10.805 16.964 17.63
10.864 10.498 11.491 16.115 15.013
10.629 11.583 13.717 13.286 16.896
10.236 14.037 16.146 17.166 20.444
10.068 14.077 14.967 18.98 23.481
9.435 11.885 13.638 10.702 16.3
11.656 13.316 14.762 20.391 20.936
8.247 11.094 11.671 15.77 18.064
10.895 11.294 18.859 16.243 20.567
12.94 10.61 16.715 18.906 22.642
13.931 9.905 15.013 16.027 19.354
9.107 10.226 10.641 12.291 14.768
8.299 9.969 11.789 14.752 18.078
6.177 7.878 6.661 10.644 10.441
5.109 4.156 8.293 10.621 9.081
8.717 10.533 13.701 10.291 17.297
10.936 14.179 13.963 17.339 20.004
9.636 11.618 13.203 14.468 18.032
6.39 11.61 10.035 10.706 11.596
12.096 17.255 21.383 25.012 29.693
9.859 9.84 13.458 12.805 14.173
9.837 9.493 12.274 16.49 14.554
10.05 12.622 16.039 15.176 16.903
8.145 10.911 13.347 13.523 19.332
11.442 13.76 16.284 16.066 18.991
5.571 7.523 9.341 10.088 11.286
9.49 12.541 14.199 18.986 19.556
7.6 9.605 12.16 14.546 17.501
10.057 9.285 12.89 13.709 15.859
9.194 8.378 11.489 15.158 19.502
10.104 10.657 15.226 16.68 18.381
9.878 9.346 10.678 8.648 13.407
10.322 11.382 14.694 13.83 19.732
14.432 14.081 15.988 20.307 21.269
8.255 11.042 16.023 18.389 16.365
9.788 9.222 12.337 8.576 10.36
9.878 9.717 10.778 15.326 16.378
8.511 11.011 13.974 12.632 17.605
12.052 14.369 16.256 17.336 20.649
8.124 13.057 15.763 17.142 17.558
8.42 7.91 6.395 10.466 8.415
13.908 15.547 18.356 18.313 19.107
11.484 11.332 14.194 11.439 11.569
11.379 12.758 9.432 17.597 16.342
6.002 7.395 8.451 11.317 11.814
7.506 11.328 11.331 13.475 14.791
6.751 12.17 14.386 15.311 16.095
10.953 9.34 12.257 12.095 16.024
8.41 10.789 11.264 15.774 16.616
8.238 12.372 12.048 15.605 18.648
5.878 5.906 9.154 11.361 13.112
14.277 14.636 20.405 20.687 21.789
8.8 9.052 11.355 16.231 16.568
10.788 11.766 16.142 13.171 14.818
11.416 12.056 14.531 16.394 19.017
13.446 17.508 17.908 22.111 26.17
8.198 13.156 12.78 14.904 18.449
11.509 11.137 12.861 15.235 17.63
10.597 8.268 13.885 13.194 16.06
11.107 11.221 13.088 16.523 15.67
12.622 12.968 16.178 19.467 20.425
11.439 14.139 14.214 12.07 16.868
14.028 16.875 14.297 22.453 21.699
8.102 13.284 9.088 11.061 15.305
10.764 10.004 13.744 15.57 20.246
15.67 20.019 18.126 20.613 23.357
9.679 8.613 12.591 9.548 13.218
5.828 8.767 9.605 11.726 11.283
9.383 11.698 18.027 15.735 18.565
12.546 12.775 13.614 16.64 17.95
7.597 10.175 11.087 16.732 18.359
10.456 10.886 12.803 15.452 13.792
9.638 5.786 10.436 14.139 11.585
8.479 9.524 9.196 12.112 14.001
11.124 10.591 12.944 16.834 17.584
9.339 10.029 15.167 13.064 13.922
5.866 7.85 10.761 11.518 13.601
11.555 13.706 13.519 17.49 14.397
12.136 11.332 14.649 14.945 15.887
13.629 13.652 15.849 19.623 20.111
3.758 9.375 9.471 9.288 13.663
13.629 17.45 18.664 16.582 20.835
10.563 12.705 15.386 18.027 20.103
8.99 12.709 12.133 14.648 14.06
11.313 12.463 15.885 16.84 20.127
6.694 7.902 10.749 11.915 13.583
6.452 6.9 6.525 9.071 7.788
8.138 10.223 12.325 16.438 15.92
8.253 9.953 11.353 12.966 13.813
10.684 12.074 13.585 17.012 16.428
6.624 10.175 8.715 8.405 9.091
13.252 13.182 13.941 15.052 16.972
