"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "I1" "I2" "I3" "I4"
2.086 3.232 2.126 3.56 2.785 3.008 3.16 3.354 3.232 3.017 0.848 0.886 1.938 2.089
3.514 2.861 2.838 2.275 3.44 2.849 3.037 3.511 3.475 3.512 1.063 0.905 1.889 1.962
3.038 2.659 2.807 1.907 2.899 2.176 2.386 1.837 2.149 2.484 0.832 1.162 1.783 2.011
3.357 2.853 2.841 2.831 1.961 2.773 2.487 3 3.449 3.392 1.118 1.017 1.997 1.828
2.549 2.918 2.921 3.114 2.427 2.906 2.968 3.483 2.802 3.634 1.112 0.909 1.974 2.074
3 2.647 3.206 2.658 3.645 3.432 2.735 2.565 3.096 2.738 0.876 1.134 2.053 1.911
4.362 3.414 3.548 3.534 2.609 3.72 1.856 4.431 3.02 4.815 0.877 1.002 1.944 2.033
2.606 2.185 2.577 2.101 1.72 2.442 2.064 2.403 2.425 2.224 1.06 0.979 2.161 1.829
2.449 2.602 3.388 2.295 3.314 2.78 3.582 2.792 3.16 3.011 1.03 0.888 2.056 1.834
2.707 3.698 3.591 3.55 3.758 3.319 1.917 2.656 1.673 2.479 0.989 0.897 2.019 1.942
2.109 3.385 2.044 3.707 2.333 4.323 3.459 4.37 3.489 4.629 0.919 1.031 1.896 2.085
2.224 2.346 3.149 2.232 2.547 2.304 2.406 2.405 2.846 2.509 1.011 0.903 1.964 1.972
2.209 3.477 2.376 3.138 2.471 3.248 2.503 2.902 2.162 2.67 0.982 0.971 1.862 1.96
2.296 1.762 2.599 1.356 2.473 1.273 2.03 1.714 1.817 2.045 1.005 0.972 1.946 1.888
0.572 2.638 0.701 2.132 1.237 1.926 3.247 1.975 1.554 1.349 1.13 0.988 2.027 2.058
2.392 2.331 2.001 2.048 1.497 1.983 2.788 2.415 1.721 3.455 0.957 1.124 2.132 2.031
3.132 3.284 3.354 3.69 2.614 3.996 2.608 2.701 2.63 3.021 0.919 0.846 1.983 2.013
4.492 3.647 3.767 3.712 3.303 3.929 3.928 4.864 4.12 4.673 0.948 0.978 2.145 1.948
1.707 2.748 2.51 2.075 2.858 2.24 3.429 2.005 2.334 1.881 0.971 0.883 2.165 2.069
2.072 2.828 1.807 2.806 1.733 2.24 3.336 2.069 2.913 2.296 0.936 1.039 2.101 1.887
3.342 4.301 3.648 4.013 2.021 4.737 3.391 4.162 3.144 3.927 1.034 0.997 2.005 1.853
2.39 2.851 2.48 2.507 3.087 3.13 2.59 2.333 3.049 2.634 1.145 0.927 2.099 1.854
0.958 2.536 1.378 2.578 1.341 3.077 2.058 2.049 2.527 2.585 1.135 1.052 1.834 1.906
1.369 1.207 1.642 2.07 2.119 2.094 2.832 1.858 3.24 2.386 1.047 0.911 2.014 2.17
3.076 2.971 3.05 2.334 3.343 1.889 2.362 2.555 2.5 3.167 0.975 0.984 1.933 1.974
2.662 3.172 2.645 3.093 2.834 3.427 1.219 3.21 2.653 2.786 0.856 1.183 1.856 2.013
3.246 2.852 2.935 3.106 3.676 2.838 2.455 2.071 2.266 1.999 0.902 1.176 2.083 2.022
2.394 3.849 2.12 4.56 2.466 4.224 1.158 3.909 1.689 3.839 0.881 1.227 2.026 2.141
2.929 2.561 3.319 2.445 2.476 2.475 2.325 3.359 3.007 3.592 0.994 1.047 1.931 1.974
2.565 2.966 3.157 2.573 3.937 2.99 3.508 3.397 2.919 2.965 1.195 0.904 1.998 1.954
3.888 2.972 4.586 3.282 4.412 3.884 3.208 3.687 2.345 3.487 0.86 0.964 1.914 2.027
3.074 2.908 2.47 2.809 2.488 3.21 2.157 2.906 1.714 3.044 0.882 0.877 1.813 1.713
3.71 3.489 3.594 2.681 3.267 3.126 2.565 3.188 2.197 3.322 0.976 0.852 2.074 2.041
2.172 2.422 2.215 3.222 2.381 3.22 3.184 2.875 2.505 2.614 0.963 1.057 1.965 2.051
2.667 2.086 2.324 2.218 1.284 2.078 3.092 2.825 3.36 3.838 0.944 0.949 1.861 2.023
