"x1" "x2" "x3" "x4" "x5"
3.047 -0.091 -0.13 -0.674 0.076
2.319 0.998 2.098 1.468 1.412
2.223 0.456 0.583 -1.276 -0.648
3.957 3.555 2.186 0.279 0.119
2.633 0.561 0.584 0.038 -0.311
3.151 0.69 1.424 1.815 0.192
1.75 -0.438 -0.001 0.231 -0.535
2.934 0.425 3.253 1.27 2.126
4.607 1.889 1.238 -0.715 -0.137
3.392 0.818 0.457 0.965 -0.752
2.914 -0.568 0.411 0.344 0.252
2.078 1.96 0.358 1.313 -0.17
2.456 2.39 2.509 1.835 0.766
2.771 1.775 0.398 0.955 -0.124
3.234 2.59 1.495 1.312 -0.334
2.775 2.788 -0.909 0.199 1.629
1.939 1.801 1.084 0.466 0.019
3.661 4.947 0.676 0.167 -1.864
2.916 0.147 1.297 -0.038 1.982
3.055 0.948 -1.406 -0.942 0.544
4.035 2.139 2.324 0.557 1.284
2.923 2.736 1.602 2.863 1.567
3.434 -0.507 0.168 0.491 1.063
2.399 0.717 0.792 1.074 0.623
3.665 2.186 1.171 -0.099 0.441
2.414 1.514 0.63 1.266 -0.221
3.427 1.444 0.004 -0.895 -0.219
3.608 2.258 1.441 -1.175 -0.882
5.008 1.64 0.252 -0.129 -1.764
2.13 -0.339 0.657 -1.12 -1.731
3.06 0.055 -1.36 -2.57 -1.585
3.02 0.64 0.068 -0.334 0.148
3.07 1.657 0.624 1.334 2.347
4.001 2.817 1.029 0.313 -0.117
3.77 3.13 1.713 0.793 0.187
2.613 1.167 2.737 1.896 0.665
2.546 1.18 -0.747 -1.388 -0.62
1.695 1.086 2.167 0.022 0.024
3.339 4.062 2.402 1.564 0.797
4.408 1.034 1.193 0.409 0.825
3.425 0.599 2.564 0.929 1.025
2.554 2.105 1.554 0.12 -0.411
3.122 2.134 1.908 2.311 2.617
3.255 1.615 -0.189 -0.392 0.141
2.722 -0.318 -1.497 -0.854 1.053
3.592 2.499 0.553 0.884 -0.007
3.842 2.215 1.531 1.355 -0.28
4.35 2.969 1.333 1.255 0.465
3.642 1.339 1.73 2.071 0.857
2.393 0.164 0.101 -0.997 -0.327
2.301 2.605 1.45 0.837 -0.051
4.532 2.269 -0.098 0.091 -1.574
3.046 0.018 0.203 -1.486 -1.344
3.028 0.795 1.199 0.873 0.284
3.054 0.148 1.172 0.999 -0.54
1.535 1.692 1.142 -0.102 0.189
3.416 0.925 -0.119 -0.125 -0.253
4.018 1.488 0.462 -0.697 -0.016
3.753 2.502 1.154 0.411 -1.287
4.202 0.496 0.528 0.106 -1.263
3.531 1.069 -0.87 -0.35 -0.543
2.12 2.37 1.828 1.927 0.272
3.485 1.359 1.575 -0.772 0.642
2.316 1.075 -0.289 1.347 -0.848
3.022 2.639 -0.682 -0.271 -1.966
2.21 0.594 0.541 0.023 -1.162
4.389 1.191 0.152 0.417 0.169
3.729 0.546 1.671 0.042 -0.517
2.826 1.349 2.085 -0.107 -0.457
4.093 0.982 0.902 1.16 -0.23
3.162 1.333 0.767 0.393 1.123
2.749 -1.529 -1.552 1.431 -0.931
2.283 1.013 1.542 -0.133 -0.735
3.29 1.133 -0.089 -0.613 -0.897
1.901 0.103 1.02 1.15 -0.68
3.426 0.905 0.096 0.009 0.452
3.323 2.19 -0.152 -0.683 -0.065
3.251 1.827 0.064 -0.118 -2.233
2.072 0.991 -0.136 0.427 -1.65
3.007 2.151 -1.738 -0.424 0.107
3.068 2.962 1.875 1.148 1.132
3.779 3.191 1.387 -0.333 0.323
2.473 0.873 -0.29 -0.429 -0.447
2.205 0.206 -1.52 -1.596 -2.502
3.015 1.263 1.439 -0.784 1.143
2.057 1.497 -0.407 -0.363 1.128
4.625 1.87 0.081 -1.523 -0.108
2.484 1.426 -0.188 0.072 0.446
1.447 0.645 1.579 2.559 0.394
0.818 -1.433 -1.345 -0.481 -1.598
4.469 2.347 0.278 -0.115 1.072
2.124 1.682 -1.33 -2.362 -1.179
3.746 3.185 0.626 1.274 0.66
4.743 0.254 0.896 -0.309 -0.459
2.623 1.476 0.027 1.521 0.276
3.85 0.826 0.834 1.109 0.841
2.675 2.041 0.203 0.358 1.414
2.842 3.736 2.838 -0.759 -1.065
2.437 0.091 -0.452 -0.175 -1.186
1.544 0.603 1.602 0.27 0.797
